t [s],a [m/s^2],v [km/h],d [km],Pel [kW],FT [kN],E [kWh],I [A],R0 [N/kN],R0 [kN],Re [kN],R [kN]
769,-0.2585231862982711,46.22336440026322,25.70541928651014,-18.62598836598795,-20.310441696052735,246.15493261532566,-7.554573374864675,1.9760027589081546,5.998560467229901,6.299967212594313,12.298527679824216
770,-0.2585231862982711,45.292680929589444,25.718129848361507,-14.578710493451354,-20.325672455814065,246.14975872966843,-6.208662788662649,1.9592787334951274,5.94779126802546,6.299967212594313,12.247758480619774
771,-0.2585231862982711,44.36199745891567,25.730581887026577,-10.522078713037757,-20.34059343347534,246.1457090878647,-4.8595701644837845,1.9428948620727786,5.898054675821215,6.299967212594313,12.198021888415528
772,-0.2585231862982711,43.43131398824189,25.742775402505348,-6.45628523080029,-20.355204629036553,246.1427862882222,-3.5073595710125858,1.9268511446411085,5.8493506906171655,6.299967212594313,12.149317903211479
773,-0.2585231862982711,42.50063051756811,25.754710394797822,-2.3815222527925357,-20.36950604249771,246.1409928756581,-2.15209507693343,1.911147581200117,5.801679312413312,6.299967212594313,12.101646525007625
774,-0.2585231862982711,41.56994704689434,25.766386863903996,1.7020180149322925,-20.38349767385881,246.14033134169898,-0.7938407509308453,1.8957841717498036,5.755040541209653,6.299967212594313,12.055007753803967
775,-0.2585231862982711,40.639263576220564,25.777804809823877,5.794143366320782,-20.39717952311985,246.1408041244809,0.5673393383107642,1.8807609162901688,5.709434377006191,6.299967212594313,12.009401589600504
776,-0.2585231862982711,39.70858010554679,25.788964232557454,9.894661595319633,-20.41055159028083,246.1424136087493,1.9313811221069273,1.866077814821213,5.664860819802924,6.299967212594313,11.964828032397238
777,-0.2585231862982711,38.77789663487301,25.79986513210473,14.003380495875462,-20.423613875341747,246.14516212585912,3.298220531773211,1.8517348673429355,5.621319869599853,6.299967212594313,11.921287082194167
778,-0.2585231862982711,37.84721316419923,25.810507508465715,18.120107861934827,-20.436366378302612,246.14905195377463,4.667793498625153,1.8377320738553364,5.578811526396978,6.299967212594313,11.878778738991292
779,-0.2585231862982711,36.916529693525455,25.8208913616404,22.244651487444486,-20.448809099163416,246.15408531706962,6.0400359539782755,1.8240694343584156,5.537335790194298,6.299967212594313,11.837303002788612
780,-0.2585231862982711,35.98584622285168,25.831016691628786,26.376819166351055,-20.46094203792416,246.16026438692725,7.414883829148162,1.810746948852174,5.496892660991815,6.299967212594313,11.79685987358613
781,-0.2585231862982711,35.0551627521779,25.840883498430873,30.51641869260112,-20.47276519458485,246.16759128114012,8.792273055450352,1.79776461733661,5.457482138789526,6.299967212594313,11.757449351383839
782,-0.2585231862982711,34.12447928150412,25.85049178204666,34.663257860141385,-20.484278569145474,246.1760680641103,10.172139564200373,1.785122439811725,5.419104223587434,6.299967212594313,11.719071436181748
783,-0.2585231862982711,33.193795810830345,25.85984154247615,38.81714446291849,-20.49548216160604,246.18569674684923,11.554419286713795,1.7728204162775183,5.381758915385537,6.299967212594313,11.681726127979852
784,-0.2585231862982711,32.263112340156574,25.868932779719344,42.97788629487903,-20.506375971966555,246.19647928697782,12.939048154306164,1.7608585467339903,5.345446214183836,6.299967212594313,11.645413426778148
785,-0.2585231862982711,31.332428869482793,25.877765493776238,47.145291149969665,-20.51696000022701,246.2084175887264,14.325962098293008,1.7492368311811406,5.3101661199823305,6.299967212594313,11.610133332576643
786,-0.2585231862982711,30.401745398809016,25.886339684646835,51.319166822137106,-20.527234246387398,246.22151350293473,15.715097049989888,1.7379552696189695,5.27591863278102,6.299967212594313,11.575885845375335
787,-0.2585231862982711,29.471061928135242,25.894655352331135,55.49932110532794,-20.537198710447733,246.235768827052,17.106388940712367,1.7270138620474775,5.242703752579907,6.299967212594313,11.54267096517422
788,-0.2585231862982711,28.540378457461465,25.902712496829132,59.68556179348877,-20.546853392408007,246.2511853051368,18.49977370177598,1.7164126084666633,5.210521479378989,6.299967212594313,11.510488691973304
789,-0.2585231862982711,27.609694986787687,25.910511118140832,63.877696680566274,-20.556198292268228,246.26776462785722,19.895187264496258,1.706151508876528,5.179371813178267,6.299967212594313,11.47933902577258
790,-0.2585231862982711,26.67901151611391,25.918051216266235,68.07553356050715,-20.565233410028384,246.2855084324907,21.29256556018876,1.6962305632770711,5.149254753977741,6.299967212594313,11.449221966572056
791,-0.2585231862982711,25.748328045440132,25.92533279120534,72.27888022725799,-20.573958745688483,246.30441830292418,22.691844520169052,1.6866497716682927,5.12017030177741,6.299967212594313,11.420137514371723
792,-0.2585231862982711,24.81764457476636,25.932355842958145,76.48754447476544,-20.58237429924852,246.32449576965396,24.092960075752664,1.6774091340501924,5.092118456577274,6.299967212594313,11.392085669171587
793,-0.2585231862982711,23.88696110409258,25.939120371524655,80.70133409697611,-20.590480070708505,246.34574230978583,25.495848158255146,1.6685086504227713,5.065099218377335,6.299967212594313,11.365066430971648
794,-0.2585231862982711,22.956277633418804,25.94562637690487,84.92005688783672,-20.598276060068425,246.368159347035,26.900444698992036,1.6599483207860286,5.039112587177592,6.299967212594313,11.339079799771905
795,-0.2585231862982711,22.025594162745026,25.95187385909878,89.14352064129383,-20.60576226732829,246.39174825172606,28.306685629278906,1.651728145139964,5.014158562978043,6.299967212594313,11.314125775572357
796,-0.2585231862982711,21.09491069207125,25.957862818106392,93.37153315129414,-20.612938692488097,246.41651034079308,29.714506880431276,1.643848123484578,4.99023714577869,6.299967212594313,11.290204358373005
797,-0.2585231862982711,20.164227221397475,25.963593253927705,97.6039022117843,-20.61980533554784,246.44244687777956,31.123844383764716,1.6363082558198707,4.967348335579534,6.299967212594313,11.267315548173848
798,-0.2585231862982711,19.233543750723697,25.96906516656272,101.84043561671089,-20.626362196507532,246.4695590728384,32.53463407059476,1.6291085421458418,4.945492132380573,6.299967212594313,11.245459344974886
799,-0.2585231862982711,18.30286028004992,25.97427855601144,106.08094116002061,-20.632609275367162,246.49784808273193,33.946811872236964,1.6222489824624917,4.924668536181808,6.299967212594313,11.224635748776121
800,-0.2585231862982711,17.372176809376143,25.979233422273865,110.3252266356601,-20.63854657212673,246.52731501083193,35.36031372000687,1.6157295767698199,4.904877546983239,6.299967212594313,11.204844759577552
801,-0.2585231862982711,16.441493338702365,25.983929765349984,114.573099837576,-20.644174086786244,246.55796090711962,36.775075545220034,1.6095503250678267,4.886119164784866,6.299967212594313,11.186086377379178
802,-0.2585231862982711,15.51080986802859,25.988367585239807,118.8243685597149,-20.6494918193457,246.5897867681856,38.191033279192,1.6037112273565117,4.868393389586687,6.299967212594313,11.168360602181002
803,-0.2585231862982711,14.580126397354812,25.992546881943333,123.07884059602353,-20.654499769805092,246.62279353722997,39.6081228532383,1.5982122836358756,4.851700221388706,6.299967212594313,11.151667433983018
804,-0.2585231862982711,13.649442926681036,25.99646765546056,127.33632374044848,-20.65919793816443,246.6569821040622,41.026280198674506,1.593053493905918,4.836039660190918,6.299967212594313,11.136006872785233
805,-0.2585231862982711,12.718759456007259,26.000129905791493,130.87753316174624,-20.918007113223766,246.69235330510122,42.44544124681616,1.5882348581666386,4.821411705993328,5.451897916594115,10.273309622587444
806,-0.2585231862982711,11.788075985333483,26.003533632936122,135.19308084262866,-20.922085717382984,246.72870817542392,43.62584438724875,1.5837563764180382,4.807816358795933,5.451897916594115,10.259714275390047
807,-0.2585231862982711,10.857392514659706,26.006678836894455,139.51106301346735,-20.925854539442142,246.76626180899132,45.06436028087622,1.579618048660116,4.795253618598734,5.451897916594115,10.24715153519285
808,-0.2585231862982711,9.926709043985928,26.009565517666488,143.83128746820893,-20.929313579401246,246.8050148820506,46.50368767115579,1.5758198748928722,4.7837234854017305,5.451897916594115,10.235621401995846
809,-0.2585231862982711,8.996025573312153,26.012193675252224,148.15356200080004,-20.932462837260285,246.84496801745846,47.94376248940298,1.572361855116307,4.773225959204923,5.451897916594115,10.225123875799039
810,-0.2585231862982711,8.065342102638375,26.01456330965166,152.47769440518735,-20.93530231301927,246.8861217846809,49.38452066693335,1.5692439893304204,4.76376104000831,5.451897916594115,10.215658956602427
811,-0.2585231862982711,7.1346586319646,26.016674420864803,156.80349247531748,-20.937832006678196,246.92847669979346,50.82589813506245,1.5664662775352123,4.755328727811894,5.451897916594115,10.20722664440601
812,-0.2585231862982711,6.203975161290824,26.018527008891645,161.1307640051371,-20.940051918237064,246.97203322548106,52.267830825105825,1.5640287197306824,4.747929022615673,5.451897916594115,10.199826939209789
813,-0.2585231862982711,5.2732916906170475,26.020121073732184,165.45931678859284,-20.94196204769587,247.01679177103804,53.71025466837904,1.5619313159168313,4.741561924419647,5.451897916594115,10.193459841013762
814,-0.2585231862982711,4.342608219943272,26.02145661538643,169.78895861963133,-20.943562395054617,247.0627526923682,55.15310559619761,1.5601740660936592,4.736227433223819,5.451897916594115,10.188125349817936
815,-0.2585231862982711,3.4119247492694957,26.022533633854376,174.11949729219924,-20.94485296031331,247.10991629198477,56.59631953987711,1.558756970261165,4.731925549028186,5.451897916594115,10.183823465622302
816,-0.2585231862982711,2.48124127859572,26.023352129136022,178.4507406002432,-20.94583374347194,247.1582828190104,58.03983243073308,1.5576800284193493,4.728656271832747,5.451897916594115,10.180554188426864
817,-0.2585231862982711,1.550557807921944,26.023912101231375,182.7824963377098,-20.94650474453051,247.20785246917714,59.48358020008106,1.5569432405682124,4.726419601637506,5.451897916594115,10.178317518231623
818,-0.2585231862982711,0.619874337248168,26.024213550140427,187.1145722985458,-20.946865963489028,247.2586253848265,60.9274987792366,1.5565466067077538,4.72521553844246,5.451897916594115,10.177113455036576
819,-0.2585231862982711,-0.31080913342560795,26.02425647586318,191.44677627669773,-20.94691740034748,247.31060165490942,62.37152409951526,1.5564901268379738,4.725044082247609,5.451897916594115,10.176941998841725
820,0.0,0.0,26.02425647586318,190.0,0.0,247.3633794326872,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
821,0.0,0.0,26.02425647586318,190.0,0.0,247.41615721046497,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
822,0.0,0.0,26.02425647586318,190.0,0.0,247.46893498824275,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
823,0.0,0.0,26.02425647586318,190.0,0.0,247.52171276602053,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
824,0.0,0.0,26.02425647586318,190.0,0.0,247.5744905437983,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
825,0.0,0.0,26.02425647586318,190.0,0.0,247.62726832157608,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
826,0.0,0.0,26.02425647586318,190.0,0.0,247.68004609935386,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
827,0.0,0.0,26.02425647586318,190.0,0.0,247.73282387713164,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
828,0.0,0.0,26.02425647586318,190.0,0.0,247.7856016549094,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
829,0.0,0.0,26.02425647586318,190.0,0.0,247.8383794326872,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
830,0.0,0.0,26.02425647586318,190.0,0.0,247.89115721046497,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
831,0.0,0.0,26.02425647586318,190.0,0.0,247.94393498824275,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
832,0.0,0.0,26.02425647586318,190.0,0.0,247.99671276602052,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
833,0.0,0.0,26.02425647586318,190.0,0.0,248.0494905437983,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
834,0.0,0.0,26.02425647586318,190.0,0.0,248.10226832157608,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
835,0.0,0.0,26.02425647586318,190.0,0.0,248.15504609935385,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
836,0.0,0.0,26.02425647586318,190.0,0.0,248.20782387713163,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
837,0.0,0.0,26.02425647586318,190.0,0.0,248.2606016549094,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
838,0.0,0.0,26.02425647586318,190.0,0.0,248.31337943268719,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
839,0.0,0.0,26.02425647586318,190.0,0.0,248.36615721046496,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
840,0.0,0.0,26.02425647586318,190.0,0.0,248.41893498824274,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
841,0.0,0.0,26.02425647586318,190.0,0.0,248.47171276602052,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
842,0.0,0.0,26.02425647586318,190.0,0.0,248.5244905437983,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
843,0.0,0.0,26.02425647586318,190.0,0.0,248.57726832157607,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
844,0.0,0.0,26.02425647586318,190.0,0.0,248.63004609935385,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
845,0.0,0.0,26.02425647586318,190.0,0.0,248.68282387713163,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
846,0.0,0.0,26.02425647586318,190.0,0.0,248.7356016549094,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
847,0.0,0.0,26.02425647586318,190.0,0.0,248.78837943268718,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
848,0.0,0.0,26.02425647586318,190.0,0.0,248.84115721046496,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
849,0.0,0.0,26.02425647586318,190.0,0.0,248.89393498824273,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
850,0.0,0.0,26.02425647586318,190.0,0.0,248.9467127660205,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
851,0.0,0.0,26.02425647586318,190.0,0.0,248.9994905437983,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
852,0.0,0.0,26.02425647586318,190.0,0.0,249.05226832157607,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
853,0.0,0.0,26.02425647586318,190.0,0.0,249.10504609935384,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
854,0.0,0.0,26.02425647586318,190.0,0.0,249.15782387713162,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
855,0.0,0.0,26.02425647586318,190.0,0.0,249.2106016549094,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
856,0.0,0.0,26.02425647586318,190.0,0.0,249.26337943268717,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
857,0.0,0.0,26.02425647586318,190.0,0.0,249.31615721046495,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
858,0.0,0.0,26.02425647586318,190.0,0.0,249.36893498824273,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
859,0.0,0.0,26.02425647586318,190.0,0.0,249.4217127660205,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
860,0.0,0.0,26.02425647586318,190.0,0.0,249.47449054379828,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
861,0.0,0.0,26.02425647586318,190.0,0.0,249.52726832157606,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
862,0.0,0.0,26.02425647586318,190.0,0.0,249.58004609935384,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
863,0.0,0.0,26.02425647586318,190.0,0.0,249.6328238771316,63.333333333333336,1.556471158507028,4.7249865,5.451897916594115,10.176884416594115
